,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Avg counts in Cre-,Avg counts in Cre+
Mrps16,204.3044563,0.199951256,0.329968271,0.605971161,0.544533904,0.947833665,143.1,334.6
Ptgs2,22.15380255,-0.787267692,1.299321695,-0.605906678,0.544576724,0.947833665,10.1,50.5
Rgs1,2378.75335,-0.095076237,0.156775073,-0.606449964,0.544215999,0.947833665,1692.8,4385.6
Shisa5,4066.700942,-0.057012366,0.09401777,-0.6063999,0.544249235,0.947833665,2948.5,7391.8
Tex10,75.18891296,0.264176731,0.43603747,0.605857867,0.54460914,0.947833665,63.3,123.4
Gm8818,16.14165535,-0.902739942,1.490455627,-0.605680522,0.544726921,0.94788563,8.5,33.1
Rps26-ps1,11.87020345,0.408293197,0.674439157,0.605381809,0.544925335,0.948113334,11.4,16.9
Bsdc1,135.7858348,-0.239553181,0.396212546,-0.604607763,0.545439647,0.948632609,106.9,268.9
E2f6,44.29131055,0.461421018,0.764222674,0.603778236,0.545991091,0.948632609,50.6,65.3
Gm29650,4.362469705,-1.358528631,2.250810228,-0.603573155,0.546127465,0.948632609,2.8,11.6
Gm37472,54.94378563,0.368942895,0.610274313,0.604552555,0.545476339,0.948632609,42.6,85.2
Gm42885,4.566026303,-1.390508924,2.302409133,-0.603936505,0.545885858,0.948632609,2.6,11.1
Gm49703,4.886644579,-1.471615457,2.438405964,-0.603515362,0.546165899,0.948632609,4.5,12.1
H3f3b,1947.896851,-0.087296828,0.14467312,-0.603407376,0.546237717,0.948632609,1443.2,3553.2
Hsp90b1,1329.783671,0.071349838,0.117991032,0.604705603,0.545374625,0.948632609,1092.8,2310.2
Jag2,3.573862355,-1.704381642,2.82183523,-0.603997577,0.545845253,0.948632609,2.9,10.6
Msh3,132.2174929,0.223106169,0.369584666,0.603667278,0.546064874,0.948632609,117.3,219.1
Nvl,216.1044625,-0.160988619,0.266746779,-0.603526009,0.546158819,0.948632609,139.6,404.1
Sat1,243.7787972,-0.174365832,0.288959186,-0.603427199,0.546224533,0.948632609,192.6,447
Slc28a2,162.8260502,0.154736705,0.256159792,0.604063204,0.545801622,0.948632609,131.8,277.8
Uchl5,172.2582956,0.23934746,0.396243535,0.604041299,0.545816185,0.948632609,136.5,292.4
Uqcrq,625.4862214,-0.09426123,0.156066234,-0.603982218,0.545855465,0.948632609,508.8,1139.4
Gopc,121.048684,0.255066359,0.422858514,0.603195514,0.546378632,0.948632865,108.3,198.3
Hspa13,120.6466157,0.26317422,0.436394077,0.603065517,0.546465105,0.948632865,74.6,197.2
Pkig,46.39191677,0.551595853,0.914751645,0.603000668,0.546508245,0.948632865,56.1,66
Rps24,3535.674943,0.078897659,0.130813118,0.603132625,0.546420464,0.948632865,3020.6,6000.8
Eif3b,397.9968795,0.12954141,0.214891355,0.602822807,0.546626573,0.948637937,356.6,679.7
Lats2,98.11924187,0.283198053,0.469815299,0.602785931,0.546651107,0.948637937,85.8,162.7
Mpst,8.340038262,0.66534048,1.103948718,0.602691474,0.546713954,0.948637937,6.4,10.9
Gm37123,4.43314268,-1.169717347,1.941206223,-0.602572428,0.546793167,0.948658093,11.9,10.7
Fra10ac1,100.1919409,0.328104046,0.545047956,0.601972803,0.547192241,0.949233117,69.8,157.2
A730063M14Rik,8.072057386,-0.860524804,1.430408004,-0.601593952,0.547444455,0.949264761,3.7,19
Fnip1,143.8533524,0.214924655,0.357282717,0.601553462,0.547471415,0.949264761,135.3,235.9
Gm26802,18.49414242,0.985529459,1.638346742,0.601538999,0.547481045,0.949264761,14.6,17.8
Scimp,31.61606032,0.590483579,0.981130153,0.601840211,0.547280506,0.949264761,41.6,42.5
1700096K18Rik,17.08955632,-0.766777753,1.278984504,-0.599520753,0.548825675,0.94979618,8.8,34.9
2210408F21Rik,5.12003089,1.468140123,2.447658668,0.599814076,0.548630151,0.94979618,7,4.7
2310022B05Rik,34.01258017,-0.456768666,0.760331511,-0.600749357,0.548006939,0.94979618,24.8,69.8
Ccndbp1,257.8193363,-0.240295495,0.400851207,-0.599463071,0.548864129,0.94979618,204.9,491.6
Ccpg1os,5.965900776,-0.949820773,1.585056448,-0.599234667,0.549016408,0.94979618,5,12.5
Ctbp1,450.3628234,-0.114972108,0.191942655,-0.598991962,0.549178245,0.94979618,340.9,829.3
Dhrs1,162.1559585,-0.26726949,0.446097363,-0.599128154,0.549087428,0.94979618,97.4,310.8
Epb41l5,9.253058524,-0.927693598,1.548634216,-0.599039843,0.549146316,0.94979618,3.8,22.9
Eri3,46.17499384,-0.354668506,0.591078103,-0.600036618,0.548481831,0.94979618,31,90.2
Fzd7,2.17359962,-1.521343103,2.533314828,-0.600534559,0.548150036,0.94979618,5.9,9.6
Gm11531,2.804987777,0.800475197,1.335916453,0.599195553,0.549042488,0.94979618,3.9,3.5
Gm43339,12.25391222,-1.051545948,1.751561083,-0.60034786,0.548274429,0.94979618,9.3,24.3
Gnal,8.226559475,0.902942359,1.507502769,0.598965639,0.549195799,0.94979618,10.7,10.7
Hdac4,256.5727394,-0.117003631,0.194963067,-0.600132284,0.548418078,0.94979618,193.3,461.3
Klf8,9.012212372,1.043894025,1.738946066,0.600302704,0.548304517,0.94979618,16,13.8
Lpcat3,110.1401079,0.354056387,0.589306263,0.600802009,0.547971866,0.94979618,88.2,165.8
Ndufs2,352.4525651,0.094875905,0.158368643,0.599082641,0.549117777,0.94979618,288.6,592.9
Strip1,143.6544552,-0.261981207,0.43740359,-0.598946174,0.549208779,0.94979618,73.5,276.3
Tbc1d7,20.49817317,-0.516374962,0.859976651,-0.600452304,0.548204838,0.94979618,14.1,42.3
Tomm34,291.8748866,-0.142822973,0.238000012,-0.600096494,0.548441929,0.94979618,211.2,530.7
Zbtb48,31.34918283,0.554938027,0.923904623,0.60064428,0.548076939,0.94979618,37.1,40.5
Arfgap3,54.85421302,0.37848126,0.632521732,0.598368784,0.54959389,0.950015475,41.3,86.1
Gsto1,128.2927952,0.28967829,0.484080863,0.598408885,0.549567138,0.950015475,139.6,205.7
Ifit1bl1,273.8937501,-0.176457844,0.294907357,-0.598350093,0.549606359,0.950015475,165.6,527.6
Mthfd2,296.344632,0.174558929,0.291602191,0.598620086,0.549426259,0.950015475,280.1,493
4632427E13Rik,179.0319934,-0.290234154,0.48526822,-0.598090173,0.549779767,0.950081179,92.1,340.9
Rps13-ps5,2.600272156,-0.768897828,1.285578962,-0.598094594,0.549776817,0.950081179,6.4,10.7
Rbm10,104.964248,0.209890529,0.351001017,0.597976982,0.549855292,0.950094702,95.8,173.9
Adamts6,160.2658776,0.230337742,0.386761164,0.59555551,0.551472206,0.950135209,132.9,260.2
Adrb2,54.67133658,-0.473864722,0.793054142,-0.597518753,0.550161091,0.950135209,43.6,110.7
Akap11,147.356225,-0.283613843,0.476003137,-0.595823475,0.55129316,0.950135209,130.2,296.8
B230217C12Rik,6.775484646,-0.9138429,1.532841525,-0.59617572,0.551057844,0.950135209,2.7,18
Btf3l4,17.33823604,0.700632288,1.173453312,0.597068738,0.550461489,0.950135209,14.5,22.9
Cldnd1,104.2647008,0.260238234,0.437002736,0.595507105,0.551504551,0.950135209,103.2,165.4
Dnal1,2.606238665,1.625924486,2.722613264,0.597192597,0.550378801,0.950135209,7.5,11.9
Eif2b1,79.14590843,0.256488707,0.429804624,0.596756511,0.550669957,0.950135209,56.5,126.7
Ess2,84.72605679,-0.314695708,0.527204585,-0.59691383,0.550564913,0.950135209,61.7,162.4
Gm16675,6.320886948,1.152640793,1.931582164,0.596734021,0.550684974,0.950135209,8.3,6.8
Gm26698,4.238363466,-1.365897869,2.290252827,-0.596396107,0.550910641,0.950135209,1.7,10.4
Gm37238,35.61424058,0.512743892,0.860928632,0.595570728,0.551462037,0.950135209,40.1,53.9
Idh1,27.05845309,0.563141234,0.945472238,0.595619005,0.551429777,0.950135209,29.2,38.8
Ints2,112.3139982,0.313367716,0.524281855,0.59770849,0.550034459,0.950135209,94.2,174.5
Klhl28,170.2317002,-0.202066784,0.338965291,-0.596128246,0.551089556,0.950135209,132.5,336.4
Ndufa12,72.52720194,0.377716387,0.633727967,0.59602291,0.551159922,0.950135209,81.4,111.2
Pcgf3,72.21090895,-0.374084548,0.626163707,-0.597422917,0.550225057,0.950135209,60.2,142.4
Ppp6r3,517.8490043,-0.096540335,0.161904419,-0.596279801,0.550988323,0.950135209,368,936.1
Rbm28,355.3970793,0.171717839,0.288074273,0.596088769,0.551115926,0.950135209,270.7,593.7
Reps1,319.762133,-0.164099791,0.274621661,-0.597548607,0.550141165,0.950135209,227.6,603.1
Rps18,1898.312242,0.072284369,0.12116762,0.596565065,0.550797801,0.950135209,1528.9,3237.5
Rtl5,3.212555594,-1.398121315,2.344913132,-0.596235867,0.551017668,0.950135209,2.8,7.6
Top3b,131.2222568,-0.192301306,0.322440523,-0.596393109,0.550912643,0.950135209,106.5,245.5
Trbv14,2.734805734,-1.193846271,2.005091998,-0.595407229,0.551571295,0.950135209,4.4,5.7
Zfp455,2.454591836,-1.445814662,2.426732782,-0.595786513,0.551317855,0.950135209,7.2,7.4
Akt1s1,9.330513093,-0.797831576,1.341453987,-0.594751355,0.552009689,0.95038535,6.6,20.6
Csk,600.0037599,0.096792562,0.162829382,0.594441621,0.552216778,0.95038535,498.9,1026.4
Csnk1g2,492.3039071,-0.116342519,0.195692779,-0.594516157,0.552166939,0.95038535,368.8,885.8
Gm26798,17.20997229,0.78138804,1.314774512,0.594313347,0.552302554,0.95038535,13.1,21.5
Itsn2,571.8421307,-0.104197703,0.175283956,-0.594450885,0.552210583,0.95038535,405.1,1058.5
Mpp1,86.00308698,0.37415855,0.629601565,0.594278303,0.552325988,0.95038535,84.7,128.2
Pik3c3,140.0564862,0.256454165,0.431527633,0.594293727,0.552315673,0.95038535,108.4,222
Sag,15.39518915,0.762915701,1.283723318,0.594299169,0.552312034,0.95038535,14.1,20.6
Zfp322a,100.7403389,-0.335035452,0.563320633,-0.594750897,0.552009995,0.95038535,63.1,199
Tyk2,178.5396092,-0.193766897,0.326336451,-0.593764185,0.552669847,0.950860442,125.1,330.5
Gm8213,3.034601205,-0.667199003,1.124373151,-0.59339642,0.552915884,0.951167139,1.9,5.4
Wwtr1,29.21555305,0.891488765,1.502853476,0.593197394,0.553049057,0.951279625,53.6,33.4
4930562F07Rik,11.09026342,0.819604994,1.382843583,0.592695373,0.553385038,0.951367055,11.9,16.1
Fcho1,321.3163475,-0.117403279,0.198091787,-0.592671106,0.553401282,0.951367055,207.8,587.9
Fem1a,87.41121816,-0.283101944,0.477775588,-0.592541669,0.553487926,0.951367055,53.8,175.6
Hnrnpll,288.2925668,-0.216094334,0.364492191,-0.592864098,0.553272107,0.951367055,210.7,552.2
Rab5b,51.21703302,-0.272038709,0.45912642,-0.592513734,0.553506627,0.951367055,42,101.4
Sfxn4,8.025945265,-0.994105159,1.676721758,-0.592886181,0.553257327,0.951367055,6,15.7
Glyr1,479.1388536,-0.146342977,0.247151446,-0.592118636,0.553771148,0.951439545,348,888.9
Gm16638,2.636665143,1.466626294,2.47707433,0.59208005,0.553796985,0.951439545,8.9,9.3
Rragb,15.50799989,0.671548789,1.13407794,0.592154,0.553747469,0.951439545,15.2,23
Ube2t,68.74547956,0.378202169,0.638805696,0.592045705,0.553819983,0.951439545,55.9,108.9
Traj25,6.534410788,-0.955608913,1.614874808,-0.591754177,0.554015212,0.951658444,5.5,14.7
Gm10175,2.266369042,-0.657582316,1.111567719,-0.591580976,0.554131216,0.951741217,1.4,5.6
Tjap1,115.8286642,0.30539369,0.516520468,0.591251865,0.554351677,0.952003356,84,177.7
Gtf2e1,43.29615423,-0.386608904,0.654387425,-0.590795129,0.554657699,0.952302592,45.6,84.9
Prkdc,142.3267133,0.229253593,0.388110548,0.590691477,0.554727159,0.952302592,116.2,236.8
Vps52,133.16726,-0.313395903,0.530560811,-0.590687997,0.554729492,0.952302592,100.6,265.3
1600012H06Rik,71.45312166,-0.442864722,0.75389505,-0.587435508,0.556911252,0.953017012,64.9,146.6
2310033P09Rik,88.110461,-0.24701466,0.419040874,-0.58947629,0.555541813,0.953017012,52.7,162.3
2610020C07Rik,25.978301,0.674820504,1.147067117,0.588300801,0.556330408,0.953017012,19.1,35.2
Alpk2,14.88296512,1.550834824,2.635940337,0.588342157,0.556302654,0.953017012,12.6,14.9
Chmp1b,142.1914326,0.261025032,0.443472363,0.588593683,0.556133873,0.953017012,123.3,239.4
Ddx28,58.90001663,0.27257871,0.463308419,0.58833101,0.556310135,0.953017012,41,90.8
Dennd1c,613.2576882,0.116047188,0.197495947,0.587592756,0.556805675,0.953017012,490.5,1039.1
Endov,34.53866778,0.536762673,0.91011068,0.589777359,0.555339924,0.953017012,22.2,45.5
Flad1,60.34237348,0.349104333,0.592399971,0.589305115,0.555656614,0.953017012,47.4,90
Gdpgp1,13.60840352,-0.598357678,1.018413792,-0.58753886,0.55684186,0.953017012,8.5,28.8
Gigyf2,278.3245824,0.198444392,0.337781433,0.587493487,0.556872323,0.953017012,225.9,465.4
Gm14377,4.491138589,-1.257795125,2.134332821,-0.589315365,0.55564974,0.953017012,1.3,9.7
Gm26935,15.4584109,0.795610101,1.35030554,0.589207462,0.555722112,0.953017012,8.9,23.1
Gm37702,22.4696656,0.680722276,1.15655506,0.588577491,0.556144737,0.953017012,20.1,26.9
Gm43910,6.406570097,1.438920447,2.440071744,0.589704155,0.555389009,0.953017012,4.8,5.3
Hdac7,464.0343009,-0.106678187,0.181370754,-0.588177448,0.556413193,0.953017012,337.3,845.6
Ier3ip1,205.7402993,0.155040221,0.262934822,0.589652674,0.55542353,0.953017012,164,349
Midn,304.0919963,0.145903169,0.248085327,0.58811688,0.556453844,0.953017012,264,528.7
Nrd1,490.1421933,0.087045075,0.148096628,0.587758653,0.556694301,0.953017012,365.3,842.4
Ppm1e,2.673370911,1.081295136,1.835125171,0.589221462,0.555712722,0.953017012,4.1,7.4
Psme2,465.5587097,0.08808011,0.149643191,0.588600854,0.556129061,0.953017012,355.9,816.2
Rab11fip3,18.97333221,-0.48975855,0.832376611,-0.588385766,0.55627339,0.953017012,15.5,40.2
Smg8,51.15165709,-0.441161715,0.749575108,-0.588549046,0.556163823,0.953017012,39.1,101.7
Tmub2,88.55883137,0.328972707,0.560011706,0.587438983,0.556908919,0.953017012,90.7,143.5
Vmn2r84,11.51258749,-0.744382049,1.264170686,-0.588830335,0.555975094,0.953017012,5,27.3
Wdr35,5.433085208,-1.079953555,1.837154539,-0.587840343,0.556639462,0.953017012,3.9,16.4
Rce1,96.16663373,-0.349712588,0.595619453,-0.587140978,0.557109029,0.953239223,90.5,194.6
Rad1,27.32613951,-0.530759067,0.904415348,-0.586853228,0.557302284,0.953337428,21.5,60.8
Slc6a8,10.94046113,-0.728763542,1.241607678,-0.586951543,0.557236252,0.953337428,10.6,23
Arhgef6,406.3707305,-0.151481541,0.258446307,-0.586123834,0.557792301,0.953515701,279.9,761.2
Cnbp,918.5329445,-0.088570862,0.151073523,-0.58627654,0.557689693,0.953515701,720.2,1670.6
Ctr9,177.5587049,-0.199991174,0.341228699,-0.586091305,0.557814159,0.953515701,121,335.9
Gm4876,12.47491564,1.06147351,1.80982543,0.58650602,0.557535517,0.953515701,10.8,13.5
Rfc1,301.3448459,0.156390283,0.266767555,0.586241768,0.557713057,0.953515701,264.1,517.3
Rpl19-ps4,2.522400166,-0.536978687,0.916105497,-0.586153765,0.557772188,0.953515701,1.9,5.7
4932422M17Rik,6.653121889,-0.972257927,1.673040774,-0.581132237,0.561151334,0.953908854,5,17.3
5730480H06Rik,56.54244007,-0.388697056,0.667596594,-0.582233431,0.560409458,0.953908854,41.7,109
Aif1,106.5465533,0.599934141,1.02977154,0.582589553,0.56016964,0.953908854,128.4,132.9
Alg11,43.09748858,-0.499433372,0.861174683,-0.579944327,0.561952162,0.953908854,36.6,94
Ampd3,9.689831434,1.069506414,1.843663454,0.580098505,0.561848192,0.953908854,11.6,10.4
Arhgap35,36.88957486,-0.481876237,0.824306186,-0.584584036,0.558827444,0.953908854,18.4,71.5
Atg4a,50.42639248,0.321278898,0.55216667,0.581851306,0.560666842,0.953908854,43.9,77.8
Cdh17,14.58962906,-0.918286936,1.580841616,-0.580884844,0.561318067,0.953908854,3.9,34.8
Cnr2,8.763887602,-0.859439951,1.479987356,-0.580707631,0.561437518,0.953908854,7.8,18.8
Cyb5b,312.1704079,-0.165969389,0.284969481,-0.5824111,0.560289806,0.953908854,241.9,586.7
Dcaf17,160.5196028,-0.262084124,0.448547335,-0.584295354,0.559021617,0.953908854,100.9,316.4
Dph2,28.73475348,-0.654561286,1.126062036,-0.581283504,0.561049397,0.953908854,15.9,62.6
Dph3,141.7346223,0.186959409,0.320896566,0.582615799,0.560151967,0.953908854,120,234.2
Eif2ak4,67.10757511,-0.233239697,0.39895824,-0.584621831,0.558802025,0.953908854,49.1,122.1
Eif4b,602.1035268,0.117844589,0.202211924,0.582777644,0.560042996,0.953908854,473.5,1013.3
Fgr,26.33038105,0.56495646,0.97424188,0.579893425,0.56198649,0.953908854,27.5,33.5
Galns,76.08701992,-0.334853321,0.575297326,-0.582052629,0.560531232,0.953908854,51.5,150.7
Gm26692,21.5881865,0.619418688,1.063453257,0.582459722,0.560257064,0.953908854,18.4,30.4
Gm36738,75.38863438,0.400192332,0.688852413,0.580955114,0.561270705,0.953908854,44.1,111.5
Gm37204,47.18391607,-0.447724625,0.76727703,-0.583524083,0.559540549,0.953908854,29.3,93.2
Gm37537,6.110345496,-1.130554886,1.948982468,-0.580074426,0.561864429,0.953908854,4.4,15.7
Gm42686,7.364269391,-1.183803804,2.02892506,-0.583463543,0.559581292,0.953908854,5,17.4
Gm42907,16.06060842,-0.714637473,1.231289291,-0.5803977,0.561646456,0.953908854,8.7,32.6
Gm43637,2.55903493,-1.407169413,2.420931769,-0.581251166,0.561071188,0.953908854,0.9,7
Gm47272,27.93376132,0.634989512,1.085015662,0.585235342,0.558389484,0.953908854,23,43.2
Gm49413,14.82938872,0.584201139,1.000513073,0.583901555,0.559286547,0.953908854,13.3,22.2
Gm49839,74.30013332,0.40612528,0.697995024,0.581845523,0.560670737,0.953908854,54,115.4
Gnb1,940.1427468,-0.081217954,0.138705296,-0.585543278,0.558182476,0.953908854,739.3,1702.3
Mief2,29.74957046,-0.499508104,0.859033949,-0.581476558,0.560919313,0.953908854,23,56.7
Mios,42.75356905,-0.430351184,0.738143481,-0.583018337,0.559880956,0.953908854,28.9,91.6
Mllt11,37.79790977,-0.415331548,0.716010186,-0.580063743,0.561871633,0.953908854,24.7,74.5
Morrbid,67.95745022,0.287438482,0.494781114,0.58094069,0.561280427,0.953908854,59.9,110.1
Mtr,123.0515761,0.323519593,0.557575622,0.580225499,0.561762561,0.953908854,92.1,195.1
mt-Tl1,25.54475976,0.727012516,1.248492542,0.582312262,0.560356368,0.953908854,34.8,36.7
Myo18a,131.6390995,0.257733314,0.444260202,0.580140451,0.561819907,0.953908854,97.4,210.5
Nxt1,93.05097317,-0.259447484,0.445094544,-0.58290421,0.559957787,0.953908854,70.8,191
Pfkl,216.8982321,-0.115280037,0.198413392,-0.581009356,0.561234148,0.953908854,160.6,403.1
Pkd1,24.92824467,-0.809067499,1.390595376,-0.581813742,0.560692147,0.953908854,14,49.9
Psmc1,257.0042084,0.174684191,0.300243539,0.581808327,0.560695794,0.953908854,229.5,438.6
Rasl11b,36.99084652,-0.555414418,0.954285683,-0.582021116,0.560552458,0.953908854,22,79.2
Rpl7a,91.65223415,-0.239409323,0.410604468,-0.583065558,0.559849168,0.953908854,61.3,171.7
Rps6,13.97019595,0.800253601,1.371484208,0.583494579,0.559560405,0.953908854,13.7,17.2
Rusc2,3.428126668,-1.492067829,2.551141807,-0.584862756,0.558640003,0.953908854,3.1,8.1
Stambp,72.25187336,-0.372448887,0.639269758,-0.582616154,0.560151728,0.953908854,48.9,139.9
Susd6,296.235877,0.218727012,0.374073137,0.584717239,0.558737861,0.953908854,271.8,497
Tax1bp3,3.012786318,-1.521666639,2.603934552,-0.584372076,0.55897001,0.953908854,2.2,8.3
Timm22,75.60923078,0.293257811,0.501676854,0.584555194,0.558846842,0.953908854,67.6,120.3
Tmcc1,146.1908456,-0.206516088,0.35293154,-0.585144891,0.558450296,0.953908854,106.1,267
Tmem101,26.74994406,-0.467284155,0.799926061,-0.584159184,0.559113219,0.953908854,22.5,53.6
Tmem242,74.15743331,0.218180302,0.375455233,0.581108698,0.561167197,0.953908854,43.9,119.9
Trim28,434.0341841,0.101590745,0.173523121,0.585459417,0.558238847,0.953908854,369.7,744
Trim33,161.9659649,-0.246483892,0.423353836,-0.582217216,0.560420378,0.953908854,126.4,317.7
Trmt6,220.7539259,0.24746747,0.423780626,0.583951826,0.559252724,0.953908854,181.5,356.5
Ubac1,83.04880774,0.296588171,0.506613413,0.585432922,0.558256657,0.953908854,82.7,133.1
Ubac2,256.0520139,0.164937113,0.282202041,0.584464636,0.558907751,0.953908854,196.6,422.4
Ube4b,192.9408402,-0.222119976,0.382999313,-0.579948758,0.561949174,0.953908854,158.3,383.9
Usp21,90.98030358,-0.295725977,0.509690139,-0.580207373,0.561774782,0.953908854,65.4,169.9
Wdr13,85.83980031,-0.396015243,0.680115483,-0.582276471,0.560380471,0.953908854,65.3,160.5
Gm9085,12.7754918,0.886768853,1.529757269,0.579679451,0.562130804,0.95403842,8.5,15.5
AC121967.1,5.957587742,-0.465808125,0.804209428,-0.579212465,0.562445821,0.954159412,3.7,12
Gm38104,5.807020672,-1.277796806,2.205987477,-0.579240281,0.562427055,0.954159412,3.9,15.4
Pelp1,67.19175568,-0.408127966,0.704704588,-0.579147593,0.562489589,0.954159412,58,128.8
Slc2a1,447.1506637,0.121328995,0.209523935,0.579069856,0.562542039,0.954159412,326.9,748.9
Zfp580,28.72077838,-0.450029102,0.776977996,-0.579204436,0.562451238,0.954159412,21.9,58.7
Ckap2,82.56355745,-0.253297588,0.437661845,-0.578751817,0.562756647,0.954292747,68.8,159.8
Gm10933,2.58235609,1.689319699,2.918543502,0.578822861,0.562708704,0.954292747,9.3,2.7
Arhgef7,219.2958014,-0.164891158,0.28540328,-0.577747943,0.563434306,0.954429947,154.2,404.8
Fam84b,16.10067517,0.839964862,1.453089464,0.578054471,0.563227344,0.954429947,11,23.3
Gm19739,25.32956742,0.367330081,0.636043161,0.577523828,0.563585647,0.954429947,23,41
Gm37648,8.271857774,-0.81904153,1.418082799,-0.57756961,0.563554729,0.954429947,4,19.1
Gm6029,6.12385966,-0.968868951,1.677403609,-0.577600373,0.563533955,0.954429947,5.6,12.6
Gm9844,23.31472905,0.39102863,0.676193285,0.578279375,0.563075517,0.954429947,18.5,35.5
Grn,350.6066119,0.286631417,0.49592352,0.577975041,0.56328097,0.954429947,476.8,535.2
Mllt3,501.7486302,0.116919816,0.202427798,0.577587748,0.563542481,0.954429947,359.4,858.4
Mylpf,14.95977852,-0.590550379,1.021110937,-0.578341058,0.56303388,0.954429947,5.5,29.9
Phc2,230.6253559,0.201814236,0.348925857,0.578387162,0.563002759,0.954429947,194.1,383.2
Prkca,322.7800772,-0.122113875,0.211437304,-0.57754177,0.56357353,0.954429947,255.9,584.3
Atraid,141.9664694,0.244146954,0.422931795,0.577272639,0.563755294,0.954456689,112.7,233.2
Gbf1,219.8877294,0.122108056,0.211507959,0.577321329,0.563722408,0.954456689,163.8,377.8
Gm11802,17.82450853,0.846412709,1.466415668,0.577198354,0.563805469,0.954456689,23.2,21.1
D330023K18Rik,7.871956502,-0.800379204,1.387916378,-0.576676821,0.564157794,0.954642878,9.1,17.2
Fabp4,4.405506809,1.442323804,2.502008113,0.576466477,0.564299922,0.954642878,8.3,4.1
Gm37660,36.77220707,-0.482350258,0.836346868,-0.576734698,0.564118689,0.954642878,25.3,74.6
Igsf6,19.59756902,0.707998153,1.227913019,0.576586567,0.564218775,0.954642878,20.2,25.8
Pced1b,220.9765353,0.137577234,0.238545781,0.576733044,0.564119807,0.954642878,160.7,373.5
Them4,18.99958249,0.723990833,1.255987746,0.576431447,0.564323594,0.954642878,13,28.6
Sec24d,98.25930176,-0.307753899,0.53432495,-0.575967675,0.564637031,0.955057984,71.7,191.5
Ap4m1,27.83591942,0.532808473,0.925765984,0.575532567,0.564931172,0.955152865,35.8,38.6
Dnajc11,93.52029847,-0.363675216,0.632176686,-0.575274641,0.565105569,0.955152865,79.9,184.1
Dock4,34.87457373,0.680042844,1.181958682,0.575352468,0.565052944,0.955152865,39.5,36.5
Gm20305,2.983353725,1.676282057,2.91432902,0.575186276,0.565165323,0.955152865,5.8,6.6
Mxd3,55.28644089,0.473631617,0.822873041,0.575582858,0.56489717,0.955152865,38.9,80
Nipal3,193.3864623,0.150686587,0.262024905,0.575084978,0.565233827,0.955152865,152,335.9
Preb,176.438131,0.160750635,0.279272227,0.575605517,0.564881851,0.955152865,149.6,291
Rps19-ps3,8.431188406,-0.622830551,1.083125123,-0.575031027,0.565270313,0.955152865,6.8,21.2
Sema4b,59.53180446,0.358053296,0.622724392,0.574978756,0.565305665,0.955152865,43.1,82.8
Msto1,9.709529709,-1.106371322,1.924637403,-0.574846629,0.565395028,0.955188856,5,25.7
Bhlhe41,14.32042523,-0.667397994,1.161239182,-0.574729138,0.565474498,0.955208125,15,31.6
Gclc,165.6569362,0.244702861,0.426204095,0.574144789,0.565869827,0.955284922,113.2,266.6
Gm17334,239.2286412,-0.174148131,0.303299636,-0.574178502,0.565847015,0.955284922,178.5,462.3
